157,0.18
158,0.19
160,0.14
161,0.12
163,0.22
164,0.58
164,0.15
166,0.27
167,0.19
167,0.13
166,0.22
167,0.27
167,0.25
167,0.31
165,0.33
160,0.22
154,0.2
152,0.21
151,0.23
152,0.13
154,0.03
156,0.1
158,0.2
159,0.3
159,0.31
161,0.26
157,0.28
153,0.69
153,1.42
153,0.77
154,1.52
155,1.03
159,0.27
161,0.23
161,0.26
162,0.19
164,0.24
166,0.25
168,0.25
171,0.22
172,0.24
172,0.26
172,0.25
171,0.18
169,0.26
168,0.21
167,0.17
165,0.15
163,0.16
163,0.17
164,0.09
164,0.15
163,0.17
163,0.16
162,0.14
163,0.17
163,0.09
164,0.05
164,0.03
166,0.02
165,0.02
164,0.01
162,0.06
162,0.17
163,0.19
163,0.14
162,0.18
159,0.17
157,0.24
158,0.25
157,0.2
155,0.22
153,0.18
149,0.19
146,0.16
146,0.23
147,0.2
147,0.21
148,0.21
149,0.17
151,0.16
153,0.09
155,0.04
154,0.04
152,0.13
152,0.13
154,0.22
156,0.25
157,0.25
157,0.2
156,0.26
154,0.22
154,0.21
155,0.18
157,0.17
159,0.31
161,0.31
162,0.2
162,0.23
165,0.14
166,0.26
167,0.32
168,0.55
168,0.43
170,0.23
169,0.11
166,0.07
163,0.04
158,0.02
152,0.02
142,0.12
142,0.48
146,0.45
156,0.23
161,0.11
165,0.21
168,0.58
170,1.04
173,1.04
176,0.84
178,0.51
181,0.41
182,0.41
181,0.17
181,0.22
182,0.29
181,0.26
181,0.31
181,0.21
180,0.26
179,0.28
179,0.2
180,0.19
179,0.25
178,0.21
178,0.14
177,0.08
176,0.12
174,0.28
174,0.44
174,0.54
175,0.88
176,0.39
173,0.3
171,0.35
172,0.12
171,0.14
172,0.24
172,0.18
171,0.23
171,0.14
171,0.18
171,0.14
172,0.21
174,0.14
175,0.15
176,0.19
176,0.07
175,0.06
171,0.25
170,0.43
171,0.53
170,0.62
169,0.74
168,0.7
166,0.43
166,0.29
165,0.33
167,0.28
170,0.26
170,0.29
172,0.25
174,0.25
175,0.29
176,0.31
177,0.23
178,0.27
179,0.45
179,0.34
179,0.48
179,0.33
180,0.48
180,0.28
180,0.34
179,0.3
179,0.21
178,0.29
177,0.25
178,0.25
175,0.27
174,0.22
172,0.2
171,0.19
170,0.28
167,0.18
165,0.13
164,0.2
164,0.15
164,0.14
166,0.14
166,0.11
162,0.06
156,0.04
152,0.02
150,0.03
152,0.02
154,0.03
157,0.02
159,0.04
159,0.12
161,0.16
161,0.31
158,0.67
153,0.89
152,0.97
155,0.66
156,0.19
158,0.3
159,0.28
160,0.24
162,0.46
164,0.73
167,0.88
168,0.43
167,0.29
